frameID,BVH,gBuffer,shadowMask,lighting,copy
351,0.0012736,9.42608,6.31587,1.78365,0.110432
352,0.0012736,10.2551,6.15711,1.62723,0.146138
353,0.0012672,9.06427,6.25634,1.7284,0.116832
354,0.001248,8.93352,6.19243,1.57164,0.110138
355,0.0012672,8.83807,5.99907,1.49219,0.101485
356,0.0012544,8.87858,5.94348,1.48858,0.108378
357,0.0012416,9.11679,5.55937,1.44964,0.104928
358,0.0013312,8.16916,5.86913,1.4839,0.104762
359,0.0012736,7.22973,6.11713,1.67014,0.12864
360,0.0012864,7.22256,6.01686,1.52632,0.110202
361,0.0012928,7.97087,6.35922,1.43619,0.108403
362,0.0012608,6.72963,6.39257,1.57208,0.119488
363,0.0012864,6.45067,6.19405,1.51601,0.12128
364,0.0012672,6.16384,6.15469,1.63357,0.116262
365,0.00128,6.81379,5.95944,1.41398,0.147245
366,0.00128,6.26911,5.94315,1.59242,0.12135
367,0.0012608,6.859,6.03026,1.53876,0.107174
368,0.0012672,6.7185,5.90681,1.55035,0.11527
369,0.0013248,6.93423,6.06257,1.53306,0.116947
370,0.0012992,6.40415,6.04704,1.58384,0.12345
371,0.0012736,6.39767,6.27779,1.68718,0.126112
372,0.0012928,6.43066,6.23567,1.59485,0.112531
373,0.0012544,6.22309,6.50928,1.76605,0.124211
374,0.0012544,6.33264,6.4501,1.64959,0.115648
375,0.0012864,6.5244,6.57228,1.73356,0.121434
376,0.0012864,6.29128,6.61359,1.78422,0.126253
377,0.0012672,6.63604,6.6694,1.5828,0.109472
378,0.00128,6.4199,6.90535,1.81049,0.123981
379,0.0012672,6.65936,6.90423,1.79772,0.124806
380,0.0012736,6.67352,6.72819,1.5958,0.106899
381,0.001312,7.19198,6.72513,1.60455,0.106906
382,0.0012928,6.90028,6.8523,1.71706,0.110202
383,0.0013056,6.78949,6.83006,1.79707,0.121568
384,0.0012736,6.72643,6.83317,1.75831,0.114342
385,0.001248,7.00758,6.73151,1.53248,0.101254
386,0.0012288,7.79821,6.56129,1.51005,0.10263
387,0.0012608,6.22573,6.65673,1.7097,0.116838
388,0.0012928,5.99129,6.59805,1.61476,0.100768
389,0.0012928,6.04442,6.81432,1.71942,0.111942
390,0.0012864,6.03588,6.71968,1.64033,0.103827
391,0.0012864,6.23423,6.81082,1.60064,0.109229
392,0.001216,5.81048,6.71773,1.63913,0.100979
393,0.0012992,5.81516,6.878,1.67991,0.105011
394,0.0012736,5.88886,6.68582,1.5685,0.0980672
395,0.0012864,5.60269,6.88186,1.71801,0.101984
396,0.0012416,5.63723,6.86188,1.57313,0.100998
397,0.0012864,5.0796,6.83766,1.68593,0.106054
398,0.0012672,5.71981,6.73116,1.64558,0.106202
399,0.00128,5.67334,6.41192,1.65157,0.101792
400,0.0012672,5.60068,6.0182,1.6266,0.108192
401,0.0012864,5.16075,5.86016,1.64131,0.109376
402,0.0012672,4.85896,5.91383,1.64458,0.107046
403,0.0012288,4.8428,5.99078,1.67105,0.106899
404,0.0012672,4.93499,5.95576,1.65761,0.115194
405,0.0012672,4.8745,5.87982,1.69772,0.106899
406,0.0013312,4.88138,5.81592,1.64161,0.112397
407,0.0013184,4.72457,5.87168,1.64326,0.107341
408,0.0012736,5.08769,5.96445,1.64765,0.110605
409,0.0012864,5.04945,6.05914,1.64876,0.112205
410,0.0012672,5.02677,6.1441,1.66984,0.110694
411,0.0012864,4.92836,6.17575,1.65812,0.11561
412,0.0012608,4.28916,5.9111,1.65429,0.112006
413,0.0012544,4.38089,5.90252,1.72379,0.112531
414,0.0012736,4.5733,5.86786,1.70451,0.119885
415,0.0012736,5.05553,5.91706,1.63181,0.117222
416,0.0012608,5.66813,6.06372,1.67462,0.112307
417,0.0012864,5.79953,6.26522,1.72617,0.121856
418,0.0013248,6.51986,6.29448,1.62579,0.11081
419,0.0012608,6.16488,6.28948,1.71517,0.119635
420,0.0012736,6.15783,6.28438,1.70104,0.114842
421,0.0012544,6.27597,6.22963,1.63857,0.114253
422,0.0012864,6.06639,6.2786,1.79376,0.125069
423,0.0012608,6.50353,6.21031,1.61674,0.110867
424,0.0012864,6.14141,6.23828,1.7943,0.125024
425,0.0012736,7.06442,6.17655,1.5982,0.110835
426,0.0012928,6.44932,6.26181,1.79827,0.122976
427,0.0016832,6.81654,5.95462,1.61565,0.111264
428,0.0012928,6.99181,6.05706,1.70357,0.12185
429,0.0012864,6.76673,5.96107,1.71995,0.116986
430,0.0012544,7.21854,6.116,1.61924,0.109856
431,0.0012608,6.88095,6.08374,1.81911,0.130918
432,0.0012864,7.32655,5.92215,1.58143,0.113421
433,0.0012224,7.58631,6.07866,1.69543,0.116454
434,0.00128,7.21775,6.00252,1.8404,0.13321
435,0.0012672,7.43789,5.95374,1.73592,0.159334
436,0.001216,7.97164,5.82861,1.54646,0.109952
437,0.0012864,8.02588,5.88913,1.59793,0.118618
438,0.0012672,7.73955,5.983,1.81275,0.123718
439,0.0012928,7.68626,5.92555,1.83373,0.137114
440,0.001248,7.61191,5.83168,1.76569,0.12288
441,0.0012736,7.88605,5.70497,1.53794,0.113158
442,0.00128,7.87433,5.91199,1.66393,0.109421
443,0.00128,7.45752,5.88053,1.79611,0.12215
444,0.0012672,7.29324,5.747,1.65201,0.111347
445,0.0012608,8.12826,5.81292,1.53711,0.107981
446,0.0012928,8.29942,5.99889,1.64839,0.112851
447,0.0012608,7.8388,6.07118,1.73766,0.119891
448,0.0012608,7.75053,6.01743,1.82794,0.138829
449,0.0012672,8.04264,6.04024,1.78769,0.136768
450,0.0012608,8.34369,6.07199,1.83273,0.137862
451,0.00128,8.84124,6.22879,1.72765,0.114093
452,0.0012736,9.6095,6.07688,1.53625,0.113754
453,0.0012544,9.27471,5.98819,1.70473,0.113229
454,0.00128,9.56809,6.1154,1.71629,0.124128
455,0.0012672,10.0598,6.01258,1.58066,0.105312
456,0.00128,9.16586,6.19947,1.76896,0.126842
457,0.0012864,9.99114,6.1989,1.60744,0.113882
458,0.00128,9.24565,6.46809,1.77347,0.12985
459,0.001184,9.26282,6.67136,1.615,0.119354
460,0.0011968,8.99305,6.44881,1.65907,0.118899
461,0.0012736,8.64934,6.59124,1.80585,0.133414
462,0.0012544,8.90305,6.51177,1.66892,0.119706
463,0.0012736,9.17402,6.14918,1.53252,0.128678
464,0.0013824,8.30459,6.08979,1.62689,0.197933
465,0.001312,8.76466,6.24179,1.77948,0.136019
466,0.0012672,8.51624,6.294,1.79916,0.140883
467,0.0012672,9.51791,6.27194,1.61971,0.128173
